 -Infinity    -Infinity    -Infinity       -1.386    -Infinity    -Infinity    -Infinity   
 -Infinity    -Infinity       -5.991       -2.878       -5.586    -Infinity    -Infinity   
  -440.865     -439.629     -435.883     -437.740     -440.448     -440.208     -439.135   
  -441.238     -437.087     -442.122     -439.231     -441.543     -442.057     -441.257   
  -438.473     -443.171     -443.241     -440.723     -442.279     -443.153     -443.261   
  -444.781     -444.445     -439.965     -442.162     -445.669     -443.889     -444.202   
  -445.831     -441.862     -446.496     -443.654     -445.512     -446.873     -445.498   
  -443.249     -447.545     -447.834     -445.146     -446.520     -447.121     -448.077   
  -448.932     -448.883     -445.251     -446.637     -449.058     -448.129     -448.325   
  -450.493     -446.455     -450.423     -448.129     -450.733     -450.667     -449.179   
  -447.841     -451.473     -452.495     -449.621     -450.201     -452.342     -451.871   
  -452.859     -453.545     -449.844     -451.112     -452.893     -451.810     -453.546   
  -454.931     -450.894     -454.862     -452.604     -454.568     -454.502     -453.014   
  -452.280     -456.759     -456.646     -454.096     -454.323     -455.772     -456.112   
  -457.963     -458.256     -453.302     -455.587     -457.826     -455.527     -457.669   
  -459.642     -454.351     -459.966     -457.079     -458.691     -459.436     -456.731   
  -455.738     -461.015     -461.644     -458.571     -457.753     -460.300     -460.640   
  -462.219     -463.254     -456.759     -459.427     -462.355     -458.957     -462.197   
  -464.863     -457.963     -463.711     -460.918     -464.605     -463.964     -460.007   
  -459.573     -464.915     -465.300     -462.410     -462.415     -466.215     -465.014   
  -466.301     -466.350     -461.575     -463.262     -466.036     -464.024     -467.419   
  -467.736     -462.625     -468.154     -464.753     -467.174     -467.645     -465.228   
  -464.011     -469.204     -469.646     -466.245     -466.250     -468.783     -468.849   
  -470.408     -471.256     -465.033     -467.700     -470.564     -467.454     -470.680   
  -472.865     -466.237     -471.900     -469.192     -472.999     -472.173     -468.503   
  -467.623     -472.950     -474.085     -470.684     -469.525     -474.608     -473.377   
  -474.154     -475.694     -468.645     -471.312     -475.092     -470.729     -476.505   
  -476.898     -470.254     -475.175     -472.804     -475.917     -476.296     -472.626   
  -471.458     -476.785     -476.716     -474.295     -474.341     -477.121     -478.193   
  -477.989     -478.325     -472.480     -475.147     -478.901     -475.545     -479.018   
  -479.935     -473.684     -479.480     -476.639     -480.446     -480.510     -476.595   
  -474.888     -481.090     -480.551     -478.130     -478.310     -481.649     -482.407   
  -482.476     -481.601     -476.890     -478.577     -482.043     -479.919     -482.853   
  -482.987     -478.788     -483.182     -480.068     -482.776     -483.246     -481.528   
  -480.174     -484.232     -484.961     -481.560     -482.550     -484.386     -484.450   
  -485.841     -486.165     -481.665     -483.052     -486.858     -484.160     -485.436   
  -487.369     -483.275     -486.863     -484.543     -487.151     -488.062     -486.057   
  -484.884     -488.067     -488.861     -486.035     -488.465     -488.760     -489.112   
  -489.453     -489.911     -486.887     -487.527     -489.947     -490.074     -489.964   
  -491.115     -488.496     -490.475     -489.018     -491.679     -491.151     -491.971   
  -489.700     -492.084     -492.136     -490.510     -493.624     -492.883     -493.048   
  -493.694     -493.340     -491.192     -492.002     -495.456     -495.233     -493.933   
  -494.544     -492.801     -494.715     -493.493     -495.647     -496.660     -497.130   
  -494.188     -495.765     -496.547     -494.985     -497.405     -497.257     -497.864   
  -497.375     -497.751     -495.679     -496.477     -500.272     -499.015     -498.307   
  -498.955     -497.289     -498.396     -497.968     -500.021     -501.476     -500.912   
  -498.493     -500.006     -499.976     -499.460     -502.573     -501.225     -503.373   
  -501.210     -501.586     -499.514     -500.952     -504.065     -503.777     -503.123   
  -502.790     -501.124     -502.231     -502.443     -504.837     -505.269     -505.675   
  -502.328     -503.841     -503.811     -503.935     -507.048     -506.041     -507.166   
  -505.045     -505.421     -503.349     -505.427     -508.540     -508.252     -507.938   
  -506.625     -504.959     -506.066     -506.918     -509.653     -509.744     -510.150   
  -506.568     -507.270     -508.116     -508.410     -512.217     -511.263     -510.794   
  -508.657     -510.014     -508.283     -509.902     -512.103     -513.421     -512.872   
  -511.218     -509.893     -509.678     -511.393     -514.507     -513.307     -515.318   
  -511.279     -510.728     -513.220     -512.885     -515.305     -516.116     -514.511   
